pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('fs_dens_c', 'vol-thalamus')","dt between 1-2.5 years, age younger than 60",-0.05303431165930424,0.6723547356685424,-0.10910411299550023,0.39078422620423936,66,51.2 (7.2),0.55
"('fs_dens_c', 'vol-thalamus')","dt between 1-2.5 years, age between 60-70",0.4678863267572148,0.0006119611233494026,0.47473897021015454,0.0006513573303320268,50,65.1 (2.9),0.54
"('fs_dens_c', 'vol-thalamus')","dt between 1-2.5 years, age older than 70",0.17339035700896227,0.2911446209493587,0.17040169105999464,0.3132930346995413,39,76.5 (4.1),0.26
"('fs_dens_c', 'vol-thalamus')","dt between 2.5-7 years, age all",0.29245516286261053,8.576520744559933e-06,0.1288645536999011,0.05521244286889887,224,60.2 (12.8),0.58
"('fs_dens_c', 'vol-thalamus')","dt between 2.5-7 years, age younger than 60",0.1860802055614177,0.05498224741184733,0.06867336091357143,0.48637157873082815,107,49.6 (8.7),0.64
"('fs_dens_c', 'vol-thalamus')","dt between 2.5-7 years, age between 60-70",0.16484102194596784,0.1894522651817107,0.16698833860263246,0.19084154614297216,65,64.8 (2.8),0.62
"('fs_dens_c', 'vol-thalamus')","dt between 2.5-7 years, age older than 70",0.2093856118365616,0.1362857014134518,0.24583028744781665,0.08528097777082028,52,76.3 (4.7),0.42
"('fs_dens_c', 'vol-thalamus')",zzz_blank,,,,,,,
"('fs_dens_c', 'vol-hippocampus')","dt all, age all",0.17444422953424588,1.1922660993293597e-05,0.0641167788092031,0.11044293303143395,623,60.9 (12.5),0.55
"('fs_dens_c', 'vol-hippocampus')","dt all, age younger than 60",0.07542508260451798,0.2042503123257688,0.044680936993036734,0.45403989724316896,285,49.9 (7.9),0.61
"('fs_dens_c', 'vol-hippocampus')","dt all, age between 60-70",0.11369514865268254,0.12129492968878358,0.10341332276564,0.16127440015746033,187,65.1 (2.9),0.58
"('fs_dens_c', 'vol-hippocampus')","dt all, age older than 70",0.08952997666716596,0.2742982607316618,0.03888294525695889,0.6377780487475226,151,76.6 (4.6),0.39
"('fs_dens_c', 'vol-hippocampus')","dt within 1 year, age all",0.20689049808832966,0.001152523840110879,0.06320868098857864,0.3274887222115336,244,60.8 (12.8),0.57
"('fs_dens_c', 'vol-hippocampus')","dt within 1 year, age younger than 60",0.06381571638231165,0.503835295177858,0.05070430640183074,0.598850056394555,112,49.4 (7.4),0.62
"('fs_dens_c', 'vol-hippocampus')","dt within 1 year, age between 60-70",0.20804084928813568,0.07949349854489662,0.1806985273382456,0.13440272540340795,72,65.2 (2.9),0.57
"('fs_dens_c', 'vol-hippocampus')","dt within 1 year, age older than 70",0.10506390676184693,0.4243387639728668,-0.030095966554897265,0.8225508577746463,60,76.9 (4.8),0.45
"('fs_dens_c', 'vol-hippocampus')","dt between 1-2.5 years, age all",0.051477032890878974,0.5246994246830109,-0.0312232219863381,0.7016188281327724,155,62.1 (11.6),0.47
"('fs_dens_c', 'vol-hippocampus')","dt between 1-2.5 years, age younger than 60",-0.09785848424661142,0.4343938208296918,-0.11082113373120897,0.3833256250283301,66,51.2 (7.2),0.55
"('fs_dens_c', 'vol-hippocampus')","dt between 1-2.5 years, age between 60-70",0.14645086368509144,0.3101742212673012,0.15189154368204458,0.3027326353255362,50,65.1 (2.9),0.54
"('fs_dens_c', 'vol-hippocampus')","dt between 1-2.5 years, age older than 70",-0.14650798583683974,0.3734713134288359,-0.21359683506120028,0.20430755593544472,39,76.5 (4.1),0.26
"('fs_dens_c', 'vol-hippocampus')","dt between 2.5-7 years, age all",0.2003851846542692,0.0025873800662749,0.1115404373354918,0.09737603291031753,224,60.2 (12.8),0.58
